tier,symbol,company_name,sector,sector_etf,sector_change_pct,stock_vs_sector_pct,sector_vs_spy_pct,sector_status,sector_score,price,change_pct,score,base_score,ext_penalty,regime_penalty,risk_category,is_earnings_reaction,catalyst,momentum,execution,squeeze,strength,technical,participation,social,short_pct,float_M,days_to_cover,atr_pct,dollar_vol_M,market_cap_B,days_to_earnings,tags,catalyst_label,catalyst_sentiment,catalyst_score,catalyst_headline,catalyst_source,catalyst_time,risk_flags,setup_bucket
1,WEN,Wendy's Company (The),Consumer Cyclical,XLY,-0.9,17.77,-0.75,WEAK,-2,7.9,16.86,75,70,0,0,NORMAL,False,0,13,15,7,12,10,6,7,34.080002,145.5,6.2,4.8,90.6,1.5,—,🟢 Positive catalyst: buyout · Big move +16.9% · RVOL 5.0x · $91M liq · ATR 4.8% (clean) · Lower-price tradable · SI 34% · Float 145M,Positive catalyst: buyout,POSITIVE,15.0,Wendy's Shares Surge On Reported Buyout Interest From Nelson Peltz's Trian,benzinga,2026-05-12T12:45:26Z,,ACTIVE_MOMENTUM
1,RAL,Ralliant Corporation,Technology,XLK,-1.51,20.88,-1.36,WEAK,-2,59.16,19.37,65,67,0,0,NORMAL,False,0,16,17,2,15,12,5,0,6.77,111.4,4.3,3.66,94.1,6.62,—,📰 Company-specific news · Big move +19.4% · Vol surge 4.3x · RVOL 5.0x · $94M liq · ATR 3.7% (clean) · Clean price · Float 111M,Company-specific fresh news,NEUTRAL,0.0,Ralliant Reports Q1 2026 Results: Full Earnings Call Transcript,benzinga,2026-05-12T13:34:21Z,,ACTIVE_MOMENTUM
2,LQDA,Liquidia Corporation,Healthcare,XLV,1.96,4.57,2.12,LEADING,4,56.6,6.53,64,60,0,0,NORMAL,False,0,12,17,4,15,9,3,0,13.91,62.3,9.4,5.17,83.3,5.03,—,📰 Company-specific news · Vol surge 4.1x · $83M liq · ATR 5.2% (clean) · Clean price · DTC 9.4d · Float 62M · RS strong (5/20/60d),Company-specific fresh news,NEUTRAL,0.0,These Analysts Boost Their Forecasts On Liquidia After Upbeat Q1 Results,benzinga,2026-05-12T18:06:21Z,,MONITOR
2,QUBT,Quantum Computing Inc.,Technology,XLK,-1.51,17.22,-1.36,WEAK,-2,11.78,15.72,62,64,0,0,NORMAL,False,0,13,17,3,14,9,8,0,29.87,200.5,4.2,8.45,279.7,2.66,—,📰 Company-specific news · Big move +15.7% · RVOL 5.9x · $280M liq · Clean price · SI 30% · RS strong (5/20/60d) · V-recovery,Company-specific fresh news,NEUTRAL,0.0,"Zebra Technologies, Vishay Precision Group, Quantum Computing, Aramark And Other Big Stocks Moving Higher On Tuesday",benzinga,2026-05-12T17:24:03Z,,ACTIVE_MOMENTUM
2,HALO,"Halozyme Therapeutics, Inc.",Healthcare,XLV,1.96,4.84,2.12,LEADING,4,70.93,6.81,57,53,0,0,NORMAL,False,0,8,20,6,5,11,3,0,15.709999999999999,117.3,10.3,3.64,114.4,8.41,—,RVOL 3.0x · $114M liq · ATR 3.6% (clean) · Clean price · DTC 10.3d · Float 117M · EMA stack ↑,No confirmed company-specific catalyst,NONE,0.0,,,,,MONITOR
2,QURE,uniQure N.V.,Healthcare,XLV,1.96,3.32,2.12,LEADING,4,29.1,5.28,57,53,0,0,NORMAL,False,0,7,12,6,14,8,6,0,17.36,49.9,7.0,7.3,62.0,1.84,—,$62M liq · Clean price · DTC 7.0d · Float 50M · RS strong (5/20/60d) · V-recovery · EMA stack ↑,No confirmed company-specific catalyst,NONE,0.0,,,,,MONITOR
2,VSTS,Vestis Corporation,Industrials,XLI,-0.39,29.43,-0.24,NEUTRAL,0,12.0,29.03,57,67,-10,0,EXTENDED,False,0,17,12,4,15,11,8,0,11.709999999999999,91.3,7.9,4.8,18.6,1.59,—,⚠️ EXTENDED · Major move +29.0% · RVOL 6.0x · ATR 4.8% (clean) · Clean price · DTC 7.9d · Float 91M,No confirmed company-specific catalyst,NONE,0.0,,,,,EXTENDED_CHASE_RISK
2,SE,Sea Limited,Consumer Cyclical,XLY,-0.9,14.04,-0.75,WEAK,-2,96.02,13.14,57,59,0,0,NORMAL,False,0,13,20,1,9,11,5,0,5.75,317.3,5.1,4.31,441.6,58.81,—,📰 Company-specific news · Big move +13.1% · RVOL 3.0x · $442M liq · ATR 4.3% (clean) · Clean price · RS positive · EMA stack ↑,Company-specific fresh news,NEUTRAL,0.0,Transcript: Sea Q1 2026 Earnings Conference Call,benzinga,2026-05-12T15:21:01Z,,ACTIVE_MOMENTUM
2,PACS,"PACS Group, Inc.",Healthcare,XLV,1.96,26.59,2.12,LEADING,4,41.01,28.56,56,62,-10,0,EXTENDED,False,0,15,15,3,12,12,5,0,9.36,46.6,5.8,5.07,35.3,6.49,—,📰 Company-specific news · ⚠️ EXTENDED · Major move +28.6% · RVOL 4.2x · ATR 5.1% (clean) · Clean price · Float 47M · RS positive,Company-specific fresh news,NEUTRAL,0.0,Full Transcript: PACS Group Q1 2026 Earnings Call,benzinga,2026-05-12T16:31:34Z,,EXTENDED_CHASE_RISK
2,AMBQ,"Ambiq Micro, Inc.",Technology,XLK,-1.51,46.83,-1.36,WEAK,-2,66.37,45.33,56,68,-10,0,EXTENDED,False,0,20,15,0,15,12,6,0,5.87,18.7,3.1,5.93,36.7,1.42,—,📰 Company-specific news · ⚠️ EXTENDED · Major move +45.3% · Vol surge 4.8x · RVOL 5.3x · ATR 5.9% (clean) · Clean price · RS strong (5/20/60d),Company-specific fresh news,NEUTRAL,0.0,Ambiq Micro Shares Soar 40% On Q1 Beat And Bullish AI Outlook,benzinga,2026-05-12T19:30:01Z,,EXTENDED_CHASE_RISK
2,FLNC,"Fluence Energy, Inc.",Utilities,XLU,0.11,-15.77,0.26,IMPROVING,0,21.28,-15.66,54,54,0,0,NORMAL,False,0,13,9,7,10,7,8,0,41.23,97.4,6.0,11.34,233.7,3.92,—,Big move -15.7% · Vol surge 4.2x · $234M liq · Clean price · SI 41% · Float 97M · RS strong (5/20/60d),No confirmed company-specific catalyst,NONE,0.0,,,,,ACTIVE_MOMENTUM
